0,uid,@shot1,@shot2,@shot3,@shot4,@shot5,@shot6,@shot7,@shot8,@age,@gender,Name,Occupation,Frequency and Time,Age,Exercise,Food
1,lidu.azn.boii,@Transcript: Improving is the game. Braun Charmers the name.,@Transcript: Let me tell you what model days.,@,@,@Shot missed,@,"@Transcript: Start the day with a couple push-ups.Transcript:  Then we're on Instagram.Transcript:  Then I want to train my friends.Transcript:  And once that's done, we get together and love one another cuz we do.","@Transcript: if the question now stands,Transcript:  why should I be a personal trainer?Transcript:  I think it's because I really understand how hot it is to get your life on track and to get an order. I believe her all help each other do that including me.",@(25-32),@Male,,"Charmers,Instagram.Transcript",,,,
2,meg_scheff,"@Transcript: Hi, my name is Nick. Chef is.",@Video file is damaged or format is not supported.,@Shot missed,@,@Transcript: 123 book.,@,@Transcript: As a dance off. My day will always include dad's whether that be an online class at the moment or dancing to my favorite music. I love doing hit workouts with my housemates and hanging out with them throughout the day.,"@Transcript: As a dancer, I've experienced firsthand, the effects of negative body image can have on yourself estate. It's been through health and fitness that I've been able to find greater balance and happiness in my life, and I look forward to helping clients find the same.","@Not enough faces detected, unknown age",@Female,Nick,book,,,,
3,geddes94,"@Transcript: Hi, my name is Lauren Geddes.",@Transcript: Let me tell you about my typical day.,@Shot missed,@,@,@,"@Transcript: Cat in before work and a nice big breakfast after work. It's on the food in training and maybe it's need to be with the girls off to it. At least. That's what I usually do this, G. So now it's just extra running session to tape up. My cardio, Fitness ready to jump into 46.","@Transcript: I want to be a Pokemon trainer. If I want to help other people realize they Fitness dreams just like I got to, I know how hard it is to work way up from the bottom. And now I'm going to get the experience and knowledge behind me to be able to help other people through the same.",@(38-43),@Male,"Lauren Geddes,Pokemon",,,46,,
4,tim.hoptman,"@Transcript: Hi, my name is Tim Horton.",@Transcript: This is my deal day.,@,@Shot missed,@,@,"@Transcript: Exercise has to be resistance training of course. And as a chef, I'm able to cook everything. I need at work and get all my supplements from poke nutrition. I train 6 days a week without fail, truth as a carrier. And when I can, I love getting that and playing soccer with Fred.",@Transcript: I'd like to be a personal trainer because at the end of every single day I have I want to spend my life.Transcript:  Really influencing someone else's life and making their life. I'm more positive and happy experience.,@(25-32),@Male,"Tim Horton,Fred",trainer,6 days a week,,,poke nutrition
5,kaydnhume,@Transcript: Jaguars.,"@Transcript: And now, let me tell you a little bit about my I do today.",@,@,@,@Transcript: It's all as exercise.,"@Transcript: A fantastic movement uniform on my standing where I love starting my day off with healthy fats. Exhaust me to see people trying with proper technique. Even with covid-19 NYC next and see each other, and be a part of each other's life.",@Transcript: I want to be a payday because I'm already the dried impact getting to Fitness can have them and I want to help people. Every single guy has a tremendous feedback on you so I can want to make everybody feel good.,@(25-32),@Male,,Jaguars,,,,
6,jackson,"@Transcript: Hi, my name is Jackson Miller.",@Transcript: Let me tell you about my ideal day.,@,@,@,@,"@Transcript: While I love my cardio, my favorite exercise is a wolf's it. I follow a plant-based diet and my favorite brekke is an acai Bowl. I love to help people mentally and physically through that your enemies. My down time is spent jeans, my bands hanging out with my mates and extending my love.",@Transcript: Decided to come accustomed. Try not to pull meaningful relationships lost my passion for Fitness within all this and Inspire and motivate individuals to achieve their own Fitness goes. I want to Advocate the exercise has the key to a society's Health prevention better than any two.,@(8-12),@Male,Jackson Miller,society,,,,"plant,brekke"
7,paulrocksmuch,"@Transcript: Hi, my name is Paul Bryan.",@Transcript: Let me tell you about my ideal day.,@,@,@Transcript: Text right?,@,"@Transcript: I really like pushing myself with push up since I'm working on one arm push-up. I like to keep my diet, nice and clean and natural training. I love being able to help people reach their goals and his social life. I love hanging out with my family and a few of my close friends.","@Transcript: I love to become a personal trainer because I recently went through quite a dacian transformation. My arm where I lost 36, kill, Isaac, completely changed my life. I'd love to be able to help people do the exact same thing.",@(25-32),@Male,"Paul Bryan,Isaac",,,,,
8,mitchellcook2001,"@Transcript: Hey Craig, I hope you doing well. My name is Mitchell. Cook.","@Transcript: My dildo, it involves Sports guitar and some down time with loved ones.",@,@,@Transcript: That's right now from your legs.,@,@Transcript: The gym also the lives and push-ups in some battle ropes. As far as. You can't go wrong with some eggs on toast and a smoothie love training with all this. And the social life. I really enjoyed those plans. I'm going to run out by the revolve around the cop file.,"@Transcript: Oh, I looked all through a lot of passing tries. I'll come tonight. You have the ability with that knowledge, sound. A lot of people's lives for the better and I just really want to be a thought of something similar to improve Lifestyles physically and emotionally.",@(25-32),@Male,"Craig,Mitchell. Cook",,,,Sports guitar,eggs
9,noviejjoe,@Transcript: Novi jail.,@Transcript: Let me tell you about my ideal day.,@,@,@,@Transcript: But did you?,"@Transcript: Kettlebell exercises. Healthy homemade granola with yogurt motivating, friends, during training and enjoying some coffee and relaxing With Friends.",@Transcript: I want to be a personal trainer because I've always been passionate in both health and fitness and teaching and I would love to finally embark on this pursuit to quote others in their health and fitness journey.,@(25-32),@Male,,personal trainer,,,Kettlebell exercises,coffee
10,elyse.judson,@Transcript: Hi everyone. My name is Elise Johnson.,@Transcript: Follow me on my typical day.,@Shot missed,@Shot missed,@,@Shot missed,"@Transcript: On my typical day. I spend anywhere between 3 to 6 hours practicing cartography. So either the stage of the class, then I look forward to a nutrient pet. So she caramel popcorn protein, shake down time for her Lottery has been to having fun with my friends.","@Transcript: I'd love to be a personal trainer. So I can try and young children pregnant women and Don says, it's so important to have a trainer that understands the way we need to move differently through the different phases of Our Lives. Help me get the APT.",@(25-32),@Female,"Elise Johnson,Shot,Don","trainer,APT.",6 hours,,,"nutrient pet,caramel popcorn protein"
11,nxturner,@Transcript: Are you nice to meet you? My name's Nick channel?,"@Transcript: I'm going to take you through what my ID, even though I do a day looks like",@,@,@,"@Transcript: Yeah. Yeah, I'm good yourself.","@Transcript: Favorite exercises push-ups because you can do them. Anyway, my go to breakfast, is Greek yogurt. Musically and fruit. I like the train at the beach when I can only I'd like to share with friends but self-isolation means chatting with them once cop goes in hanging with the dogs.","@Transcript: Run has different colors and whatever they are. I really enjoy being a part of the Jenny thing ever to give someone a high-five when they achieve something that they set out to accomplish is a really great feeling, and that's why I'm studying with a OP 80.",@(25-32),@Male,"Nick,Greek,Jenny",,,,,"Greek yogurt,fruit"
12,jessica.vanbeijnum,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,"@Transcript: I love to kick start my day with some yoga, then hiring for simony. Yummy scrambled eggs. I love training with others and obscurity, his friends family, and nature time.",@Shot missed,"@Not enough faces detected, unknown age","@Not enough faces detected, unknown gender","@Shot,@Shot,@Shot,@Shot,@Shot",,,,"kick,yoga",Yummy scrambled eggs
13,shane,"@Transcript: Hi, I'm Shane. I'm a 40 year old father of two.",@Transcript: Let me tell you about my ideal day in quarantine.,@,@,@Transcript: 100.,@,"@Transcript: Jim Schott, I still do simple exercises at home. My family love to eat vegetables, chicken and fish. I still train during the quarantine and still at 5 a.m. And the best thing about the quarantine is taking my kids for Black Rose walks in soccer.",@Shot missed,@(0-2),@Male,Jim Schott,,,I'm a 40 year old father of two,soccer,"vegetables,chicken,fish"
14,david.vanderwaal,@Transcript: Why do I not my dive into? Well?,@Transcript: Let me tell you about a typical diet.,@,@,@Shot missed,@,"@Transcript: My favorite exercises outdoor carrier. I enjoy a protein shake with natural sugar. For brekkie. My indoor bike trainer of his flexibility around my busy schedule, and as often as I can find a tie in Social ketchup, sweet travel Adventures.","@Transcript: After working in sales and marketing, some mini you. So I can start at 6, cuz I'm passionate about helping Fitness and I love to help people at the moment. I'm starting to become a clinical important. Part of my development indicating is gone.",@(25-32),@Male,,,,,indoor bike trainer,"protein shake,brekkie"
15,kjn1,@Transcript: I am Kelly Mila a group fitness instructor travel agent and mom of three.,@Transcript: Let me tell you how my I do today?,@,@,"@Transcript: Good, good.",@,"@Transcript: My I do die is waking up before the sun comes up and going for a run. My daughter is definitely hot out of my diet. I packed my meals with color and nutrition. I love to strength, trying and finish the day, having fun with my beautiful family.","@Transcript: Studying to become a personal trainer has been a lost long goal. Now is the perfect time for me to turn my passion into a Korea. My manttra if you dream big, Anything is Possible.",@(25-32),@Female,Kelly Mila,group fitness instructor,,I am,,
16,kf18,@Transcript: Did I miss Christian Farah?,@Transcript: Let me take you through my audio.,@,@,@,@,"@Transcript: That would die with a compound exercise, push-ups our personal fiber. I really enjoy helping my pot meant to say 15 was spent with my partner and effort about you watching movies, reading books and catching up with friends and family online.",@Transcript: I'm starting to become a personal trainer so that I can help people but they divisions of themselves. But physically and mentally. I have a background in cooking and nutrition and I believe I'm in a eunuch spot to help. Play pool table sickness. It's a big house.,@(8-12),@Male,Christian Farah,"personal trainer,Play pool table sickness",,,,eunuch
17,weesy1991,"@Transcript: Hi, my name is Belinda Brown.",@Transcript: Let me tell you about my idayallday.,@,@,@,@,"@Transcript: Definitely blessed cuz I love starting my day with fresh veggies and eggs to protein. I'm kind of doing online sessions with my gym, which I'm loving and socializing with them online as well.","@Transcript: Fitness is not one of my passions and thought I'd say it as a tool or something, going to have to do it, help me, but physically and mentally and I just would love to help other people for that passion. The way they do, I have.",@(38-43),@Female,Belinda Brown,,,,gym,"fresh veggies,eggs"
18,joshryl02,"@Transcript: Hey guys, I'm Joshua Laskey and I love to be a personal trainer.",@Transcript: Let me tell you about my ideal day.,@,@,@,@,@Transcript: Electron box and do push-ups to eat vegetables and made every not. I enjoy helping others workout.Transcript:  This is my girlfriend and a child Sally. I love spending my free time with them.,@Transcript: I'd like to become a personal trainer because I'd like to improve my overall health and everyone else is Arbor will help. I used to have a lot of bad habits. But I mean Breaking Free of them's you to Fitness and I'd really like to encourage all this.,@(25-32),@Male,"Joshua Laskey,Sally","trainer,personal trainer",,,,vegetables
19,michelle.johnson233,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,"@Transcript: Having a toddler does keep me on my tardies and I saw an acclaimed, I gives me the energy. I need to Kpop nipple training and social Pet Shops are a little different at the moment, but it's still important to keep them going until things return to normal.",@Shot missed,"@Not enough faces detected, unknown age","@Not enough faces detected, unknown gender",@Shot,"Kpop,training,Pet Shops",,,,
20,hayden.t.1995,"@Transcript: Hey, I'm Hayden, and I'm starting to cause from isolation.","@Transcript: my ideal day is, getting in some work and then","@Transcript: Going for a run Outdoors, cuz it's the only time I get in the sunshine, even though absolutely freezing right now.",@,@Shot missed,"@Transcript: Sorry, I can't put much for the socialisation at the moment. Sorry.",@Shot missed,"@Transcript: So you're normally, I work as a loyal by giving a lockdown. I thought this is good time to do the set and make a career switch to PT cuz I left the gym and I love working out and one is an armoire.",@(25-32),@Male,Hayden,PT,,,gym,
