shot_3,shot_4,shot_5,shot_6,uid
"Plant, Shorts, Wheel, Tree, Tent, Tire, Land lot, Umbrella, Grass, Chair, People in nature, Shade, Grassland, Recreation, Meadow","Food, Tableware, Bottle, Kitchen appliance, Recipe, Table, Home appliance, Plate, Liquid, Plastic bottle, Personal care, Major appliance, Mixer, Kitchen, Fruit, Gas","Plant, Shorts, People in nature, Nature, Leaf, Tree, Sunlight, Leisure, Grass, Woody plant, Shade, Recreation, People","Membranophone, Bicycle, Idiophone, Wheel, Drum, Musical instrument, Tire, Drumhead, Cymbal, Musician",mitchellcook2001
,"Food, Tableware, Table, Flower, Dishware, Saba banana, Plate, Banana, Coffee cup, Drinkware, Recipe, Ingredient, Serveware, Cup","Joint, Yoga mat, Hand, Arm, yoga pant, Shoulder, Leg, Strength training, Active tank, Active pants, Neck, Human body, Knee","Jeans, Trousers, Plant, Couch, Comfort, Houseplant, Sharing, Floor, Flooring, Wood, Fun, Curtain, Leisure",meg_scheff
"Joint, Barbell, Weightlifting, Arm, Shoulder, Muscle, Strength athletics, Shorts, Crossfit, Strength training, Weights, Weight training, Exercise equipment, Gym, Exercise",,"Joint, Chin, Hand, Hairstyle, Shoulder, Arm, Muscle, Strength athletics, Active tank, Undershirt, Strength training, Neck, Weight training, Beard","Joint, Computer, Computer keyboard, Peripheral, Personal computer, Muscle, Computer desk, Desk, Table, Computer monitor, Input device, Gadget",ma.broderick91
,"Hand, Product, Liquid, Solution, Kitchen, Fluid, Natural foods, Countertop, Ingredient, Kitchen appliance, Food, Plastic bottle, Bottle, Personal care, Material property, Gas, Whole food, Computer keyboard, Staple food, Medicine, Home appliance",,,sabrinaclare1980
,,"Plant, Shoe, Leg, Green, Outdoor bench, Active pants, Tree, People in nature, Happy, Gesture, Sky, Thigh, yoga pant, Sportswear, Grass, Leisure",,elyse.judson
"Water, Plant, Light, Sunlight, Grass, Tree, Shorts, People in nature, Leisure, Landscape, Lawn, Shrub, Recreation, Grass family","Food, Dishware, Tableware, Banana, Fruit, Kitchen utensil, Ingredient, Recipe, Wood, Staple food, Dish, Cuisine, Cooking plantain, Serveware, Saba banana",,"Plant, Sky, Cloud, Tree, Natural environment, Sports equipment, Football, Land lot, People in nature, Ball, Sports gear, Ball game, Player, Grass, Leisure, Plain, Grassland, Groundcover, Sports, Landscape, Grass family",haylulu
"Sky, Arm, Muscle, Bodybuilder, Orange, Gesture, Shorts, Grass, Happy, Elbow, Leisure, Bodybuilding, Physical fitness, Knee, Chest, Recreation, Toy, Thumb","Tableware, Food, Dishware, Kitchen utensil, Product, Plate, Toy, Serveware, Gesture, Finger, Cutlery, Font, Ingredient, Thumb, Wood, Cuisine, Staple food, Chocolate bar, Nail, Junk food, Chair, Advertising, Publication",,"Human, Smile, Human body, Sky, Toy, Mammal, Gesture, Happy, Tree, Finger, Art, People, Thumb, Fun, Stuffed toy, Snout, Asphalt",lidu.azn.boii
"Forehead, Chin, Sky, Hairstyle, Plant, Muscle, Smile, Beard, Jaw, Neck, Tree, Gesture, Grass, T-shirt","Food, Blue, Ingredient, Recipe, Coffee cup, Cuisine, Staple food, Mixture, Dish, Tableware, Cookware and bakeware, Produce, Cooking, Food storage containers, Mixing bowl",,"Hand, Drinkware, Mouth, Muscle, Vision care, Tableware, Beard, Gesture, Dishware, Finger, Thumb, Table, Drink, Eyewear",hayden.t.1995
"Footwear, Wheel, Bicycle, Tire, Shoe, Bicycles--Equipment and supplies, Crankset, Bicycle helmet, Bicycle wheel, Plant, Bicycle frame, Building, Cloud, Window, Sky, Garage door, House, Door, Shorts, Tree, Bicycle handlebar, Land lot, Fixture, Helmet, Asphalt","Food, Tableware, Plate, Fork, Kitchen utensil, Ingredient, Recipe, Cuisine, Béchamel sauce, Dish, Table","Sky, Hand, Cloud, Cap, Glove, Sports equipment, Cricket cap, Water, Baseball cap, Tree, Gesture, Finger, T-shirt, Headgear, Elbow","Dog, Smile, Vertebrate, Comfort, Mammal, Carnivore, Happy, Dog breed, Fawn, Lap, Companion dog, Beard, Eyewear, Leisure, T-shirt",joshryl02
"Shorts, Plant, Grass, Fence, Knee, Exercise, Chest, Elbow, Grassland, Thigh, T-shirt","Property, Shorts, Cabinetry, Kitchen appliance, Kitchen, Tableware, Window, Cooktop, Food, Countertop, Gas stove, Kitchen stove, Home appliance, Wood","Footwear, Shoe, Plant, Shorts, Leg, People in nature, Leaf, Botany, Tree, Fence, Wood, Thigh, Grass, Knee, Groundcover, Leisure, sweatpant, Recreation","Joint, Dog, Shorts, Property, Shoulder, Muscle, Leg, Comfort, Plant, Smile, Wood, Eyewear, Carnivore, Sunglasses, Floor, Thigh, Flooring, Fawn, Houseplant",kf18
"Sky, Shorts, Plant, Tree, Natural landscape, Wood, Branch, Land lot, Grass, Fence, Trunk, Flooring, Twig, Landscape, Player, Leisure, Deciduous, Cloud, Forest, Canopy walkway, Road, Waterway, Grass family","Cabinetry, Table, Countertop, Kitchen sink, Tableware, Kitchen appliance, Kitchen, Drinkware, Home appliance, Drink, Cup, Sink, Kitchen stove, Food, Major appliance, Cooking, Serveware, Gas, Food storage containers",,"Glasses, Smile, Jeans, Tableware, Vision care, Goggles, Table, Food, Photograph, Sky, Facial expression, Sunglasses, White, Hat, Eyewear, Drinkware, Flash photography, Drink, Happy, Shorts, Curtain, Thigh, Alcoholic beverage, Plate, Cuisine, Leisure, Friendship, T-shirt",david.vanderwaal
"Plant, Shorts, Leg, Bicycles--Equipment and supplies, Bicycle tire, Sky, Tree, Bicycle handlebar, Bicycle frame, Bicycle fork, Bicycle accessory, Shade, Thigh, People in nature, Grass, Leisure, Recreation, Eyewear","Food, Tableware, Dishware, Egg yolk, Orange, Wood, Recipe, Ingredient, Table, Cuisine, Dish, Food storage containers, Plastic bottle, Serveware, Drink, Gas, Egg, Citrus, Natural foods, Packaging and labeling","Shorts, Tire, Plant, Press up, Grass, Flag, Knee, Window, Sportswear, Chest, Thigh, Door, Flooring, Grass family, Leisure, Tree, Lawn","Plant, Furniture, Table, Black, Mammal, Comfort, Social group, Leisure, Community, Public space, studio couch, Coffee table, Outdoor furniture",joshkostrubic
"Shoulder, Fashion, Wood, Building, Street fashion, Floor, Waist, Luggage and bags, Flooring, Knee, Leisure, Sportswear, Fashion design, Hardwood, Thigh, Room, Recreation, House, Ball, T-shirt, Human leg","Food, Ingredient, Garden salad, Recipe, Salad, Natural foods, Tableware, Leaf vegetable, Dish, Cuisine, Iceburg lettuce, Vegetable, Garnish","Sky, Plant, Hand, People in nature, Gesture, Happy, Finger, Grass, Horizon, T-shirt, Sunrise, Travel, Landscape, Leisure","Hand, Arm, Table, Tableware, Gesture, Finger, Wood, Beard, Eyewear, Flooring, Thumb",melaniekit
"Water, Surfing, Surfboard, Cloud, Sports equipment, Sky, Liquid, Surfing Equipment, Fluid, Skimboarding, Recreation, Wind wave, Sports, Wind","Food, Smile, Watch, Recipe, Tableware, Gesture, Food craving, Ingredient, Finger, Kitchen utensil, Noodle, Cuisine, Dish, Staple food, T-shirt, Mixture, Bowl","Sky, Light, Flash photography, Standing, Gesture, Happy, People in nature, Entertainment, Travel, Fun, Performing arts, Leisure, Lens flare, Event","Shorts, Black, Fashion, Flash photography, Gesture, Hat, Thigh, Performing arts, Cool, Eyewear, Baseball cap, Fun, Entertainment, Snapshot, Event, T-shirt, Font, Room, Stage equipment",anne.dossantos
"Clothing, Jeans, Joint, Hand, Arm, Leg, Yellow, Flooring, Floor, Thigh, Knee, Shorts, Leisure, T-shirt, Fun, Baseball cap, Grass, Physical fitness","Food, Table, Tableware, Wedding dress, Ingredient, Dishware, Plate, Recipe, Staple food, Cuisine, Dress, Dish, Gesture, Flooring, Fried rice, Rice, Floor, Bridal clothing, Happy, Gown, Wood, Formal wear","Joint, Shoe, Arm, Shorts, Leg, Yellow, Flooring, Knee, Floor, Wood, Wheel, Sneakers, Tire, Active pants, Physical fitness, Leisure, Luggage and bags","Furniture, Window, Chair, Flooring, Floor, Wood, Table, Houseplant, Fun, Leisure, Hardwood, Toddler, Dance, Child, Entertainment, Happy",shane
"Shorts, yoga pant, Exercise equipment, Weight training, Output device, Floor, Flooring, Gym, Knee, Thigh, Weights, Adaptation, Chest, Sportswear, Screenshot, Recreation room, Display device, Electronic device, Indoor games and sports, Technology, Recreation, Gadget, Leisure, Font, Machine, Wood","Food, Tableware, Table, Plate, Prosciutto, Recipe, Ingredient, Dishware, Leaf vegetable, Fork, Salad, Bayonne ham","American football, Sports equipment, Plant, Football equipment, Jersey, Tree, Sky, Player, Face mask, Sports gear, Grass, Gridiron football, Super bowl, Ball game, Team sport, Musician",,beautyandthebeast9696
"Plant, Green, Blue, Sky, Vegetation, Grass, Tree, Red, Leisure, Woody plant, People in nature, Flower, Groundcover, Fun, Shrub, Recreation, Facade, Pole","Food, Tableware, Ingredient, Egg yolk, Fried egg, Recipe, Fast food, Plate, Baked goods, Cuisine, Fried food",,,harleyxinpengcen
